,STATEFP,COUNTYFP_x,VTDST,NAME,G16PRERTRU_x,G16PREDCLI_x,G16PRELJOH_x,G16PRECCAS_x,G16USSRTHU_x,G16USSDWIL_x,G16HALRNOE_x,G16HALDHAW_x,G16PUCRNEL_x,G16PUCDRED_x,geometry,County_Name,join_col,County,Precinct,G16PRERTRU_y,G16PREDCLI_y,G16PRELJOH_y,G16PRECCAS_y,G16USSRTHU_y,G16USSDWIL_y,G16HALRNOE_y,G16HALDHAW_y,G16PUCRNEL_y,G16PUCDRED_y,COUNTYFP_y,_merge
996,,,,,,,,,,,,,,,,,059-PRECINCT-05 (PRECINCT-08),HAND,Precinct-05 (Precinct-08),184.0,23.0,11.0,3.0,202.0,27.0,186.0,38.0,206.0,15.0,059,right_only
997,,,,,,,,,,,,,,,,,059-PRECINCT-02,HAND,Precinct-02,60.0,18.0,1.0,1.0,66.0,16.0,61.0,21.0,67.0,11.0,059,right_only
998,,,,,,,,,,,,,,,,,059-PRECINCT-01 (PRECINCT-03),HAND,Precinct-01 (Precinct-03),208.0,16.0,1.0,2.0,209.0,21.0,193.0,35.0,211.0,14.0,059,right_only
999,,,,,,,,,,,,,,,,,059-PRECINCT-06,HAND,Precinct-06,124.0,46.0,9.0,0.0,128.0,48.0,110.0,65.0,131.0,35.0,059,right_only
1000,,,,,,,,,,,,,,,,,061-PRECINCT-1,HANSON,Precinct-1,689.0,233.0,28.0,13.0,694.0,223.0,657.0,258.0,652.0,205.0,061,right_only
1001,,,,,,,,,,,,,,,,,061-PRECINCT-2,HANSON,Precinct-2,244.0,87.0,18.0,2.0,265.0,91.0,246.0,111.0,290.0,60.0,061,right_only
1002,,,,,,,,,,,,,,,,,061-PRECINCT-3,HANSON,Precinct-3,236.0,50.0,3.0,7.0,232.0,66.0,230.0,69.0,253.0,38.0,061,right_only
1003,,,,,,,,,,,,,,,,,061-PRECINCT-4,HANSON,Precinct-4,230.0,38.0,9.0,4.0,226.0,50.0,222.0,58.0,238.0,38.0,061,right_only
1004,,,,,,,,,,,,,,,,,061-PRECINCT-5,HANSON,Precinct-5,98.0,16.0,1.0,0.0,95.0,21.0,89.0,29.0,96.0,14.0,061,right_only
1005,,,,,,,,,,,,,,,,,063-PRECINCT-01,HARDING,Precinct-01,140.0,11.0,10.0,2.0,141.0,18.0,140.0,18.0,141.0,14.0,063,right_only
1006,,,,,,,,,,,,,,,,,063-PRECINCT-03,HARDING,Precinct-03,48.0,5.0,3.0,1.0,53.0,4.0,50.0,5.0,51.0,4.0,063,right_only
1007,,,,,,,,,,,,,,,,,063-PRECINCT-05,HARDING,Precinct-05,101.0,7.0,4.0,0.0,101.0,13.0,98.0,16.0,106.0,8.0,063,right_only
1008,,,,,,,,,,,,,,,,,063-PRECINCT-06,HARDING,Precinct-06,41.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,41.0,0.0,063,right_only
1009,,,,,,,,,,,,,,,,,063-PRECINCT-07,HARDING,Precinct-07,81.0,5.0,3.0,2.0,79.0,9.0,78.0,11.0,84.0,4.0,063,right_only
1010,,,,,,,,,,,,,,,,,063-PRECINCT-08,HARDING,Precinct-08,55.0,3.0,1.0,0.0,53.0,5.0,55.0,3.0,55.0,4.0,063,right_only
1011,,,,,,,,,,,,,,,,,063-PRECINCT-09,HARDING,Precinct-09,118.0,3.0,3.0,0.0,120.0,4.0,118.0,3.0,118.0,5.0,063,right_only
1012,,,,,,,,,,,,,,,,,063-PRECINCT-02,HARDING,Precinct-02,110.0,4.0,7.0,1.0,96.0,21.0,99.0,21.0,102.0,15.0,063,right_only
1013,,,,,,,,,,,,,,,,,067-PRECINCT-07,HUTCHINSON,Precinct-07,166.0,21.0,3.0,4.0,165.0,29.0,161.0,34.0,167.0,23.0,067,right_only
1014,,,,,,,,,,,,,,,,,067-PRECINCT-05,HUTCHINSON,Precinct-05,466.0,176.0,30.0,8.0,549.0,139.0,481.0,201.0,580.0,84.0,067,right_only
1015,,,,,,,,,,,,,,,,,067-PRECINCT-06,HUTCHINSON,Precinct-06,350.0,68.0,10.0,5.0,360.0,71.0,346.0,82.0,383.0,47.0,067,right_only
1016,,,,,,,,,,,,,,,,,067-PRECINCT-03,HUTCHINSON,Precinct-03,120.0,21.0,0.0,2.0,121.0,21.0,115.0,25.0,121.0,17.0,067,right_only
1017,,,,,,,,,,,,,,,,,067-PRECINCT-02,HUTCHINSON,Precinct-02,547.0,175.0,38.0,7.0,643.0,133.0,600.0,177.0,634.0,110.0,067,right_only
1018,,,,,,,,,,,,,,,,,067-PRECINCT-01,HUTCHINSON,Precinct-01,536.0,127.0,19.0,12.0,587.0,116.0,537.0,166.0,611.0,79.0,067,right_only
1019,,,,,,,,,,,,,,,,,067-PRECINCT-04,HUTCHINSON,Precinct-04,332.0,104.0,12.0,6.0,354.0,100.0,311.0,144.0,389.0,60.0,067,right_only
1020,,,,,,,,,,,,,,,,,069-HYDE COUNTY MEMORIAL AUDITORIUM - MAIN ARENA,HYDE,Hyde County Memorial Auditorium - Main Arena,543.0,125.0,17.0,5.0,567.0,124.0,518.0,176.0,580.0,95.0,069,right_only
1021,,,,,,,,,,,,,,,,,071-PRECINCT-8,JACKSON,Precinct-8,36.0,23.0,4.0,0.0,43.0,22.0,40.0,25.0,40.0,24.0,071,right_only
